code;description;codeCountry
MASKELYNE;Sea cucumber stock assessments in South east Malekula (Maskelynes islands) since 2011.;VU
EFATE-SOUTH;Evaluation of sea cucumber stock in southern part of efate, including Eratap, Erakor, Pango and Ifira, During this survey the surveyors do free dive to collect count data, no Scuba diving.;VU
REEF-ISLAND;Sea cucumber preliminary survey;VU
MALEKULA-NE;Sea cucumber stock assessments in Northeast Malikolo (Uri, Uripiv, Lakatoro, Crab Bay) since 2011;VU
EFATE-NORTH;Sea cucumber stock assessments in North Efate (Takara, Paonagisu, Emua, Pele island) since 2012;VU
PENTECOST;Prelimiary Sea cuccumber assessment on Pentecost starting from Melsisi up to Laone;VU
MANGAL-TROC;Assessment of the effect of tabu area on trochus abundance;VU
SANTO-SOUTHEAST;Stock assessment of Sea Cucumber fishery in Palekula ;VU
EFATE-WEST;Evaluation of sea cucumber stocks in West of Efate, including offshore islands, Lelepa, Mosso, and Hat island;VU
SANTO-NORTHEAST;Assesment of Sea Cucumber stock around areas of Port Olry;VU
ANEITYUM;Sea cucumber surveyed site: Anelcouhat area including Mystery Island, Anawonsei area and Anejo area (Port-Patrick);VU
SANTO-ISLANDS;Sea cucumber surveyed site: Malo, Bokissa, Aore and Tutuba and along side santo mainland south wards;VU
EMAE-COOK-REEF;Sea cucumber Stock Assessment;VU
EMTEN-LAGOON;Sea cucumber Stock assessment;VU
AMAL-CRAB-BAY;Trochus stock assessment;VU
GAUA;Sea cucumber stock assessment;NC
GATOPE;Pecherie situee dans la baie au sud de la tribu de Gatope, commune de Voh;NC
KONIENE;Pecherie du plateau de Koniene;NC
PM;Pecherie du Plateau des Massacres, Tribu de Boyen, Commune de Voh;NC
BAIE-DE-NOUMEA;Pecherie de la Baie de Noumea, commune de Voh;NC
TIABET;"Site de reensemencement de Holothuria scabra (novembre 2014) en province Nord de Nouvelle-Caledonie.
Projet RESCA (province Nord / IRD)";NC
